City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,georgetown,5.4112,100.3354,29.97,74,20,0.0,MY,1680278938
84,ribeira grande,38.5167,-28.7,18.22,88,75,5.81,PT,1680279036
85,north bend,43.4065,-124.2243,7.82,91,100,4.63,US,1680279036
86,udalguri,26.7667,92.1333,22.47,80,100,2.16,IN,1680279037
87,upernavik,72.7868,-56.1549,-26.7,93,7,2.38,GL,1680279037
88,qui nhon,13.7667,109.2333,24.69,88,94,1.13,VN,1680279038
89,raudeberg,61.9875,5.1352,7.37,64,3,3.47,NO,1680279038
90,hermanus,-34.4187,19.2345,21.56,71,25,3.81,ZA,1680279038
91,chumikan,54.7183,135.315,-6.64,97,100,1.28,RU,1680279039
92,saint-philippe,-21.3585,55.7679,27.77,85,48,5.4,RE,1680279039
93,yellowknife,62.456,-114.3525,-22.71,70,20,4.63,CA,1680278767
94,avarua,-21.2078,-159.775,25.03,94,20,1.03,CK,1680279040
95,sao jose da coroa grande,-8.8978,-35.1478,28.65,59,35,3.56,BR,1680279040
96,ocos,14.5094,-92.1933,32.1,60,7,2.11,GT,1680279041
97,lusambo,-4.9667,23.45,21.86,96,100,1.0,CD,1680279041
98,burgeo,47.6167,-57.6152,1.63,68,86,5.45,CA,1680279041
99,te anau,-45.4167,167.7167,8.97,94,100,0.53,NZ,1680279042
100,amazar,53.858,120.875,-1.1,99,64,1.84,RU,1680279042
101,puerto suarez,-18.95,-57.8,33.31,55,40,2.57,BO,1680279043
102,deputatskiy,69.3,139.9,-23.75,95,100,2.28,RU,1680279043
103,inuvik,68.3499,-133.7218,-23.88,96,32,2.28,CA,1680279043
104,sorong,-0.8833,131.25,25.73,88,100,2.71,ID,1680279044
105,new norfolk,-42.7826,147.0587,8.84,65,23,0.89,AU,1680279044
106,houma,29.5958,-90.7195,26.11,86,75,9.26,US,1680279045
107,aleksandrov gay,50.147,48.5704,8.62,43,35,5.58,RU,1680279045
108,bengkulu,-3.8004,102.2655,24.24,89,93,1.8,ID,1680279046
109,lazaro cardenas,17.9583,-102.2,28.93,44,98,1.39,MX,1680278955
110,kapaa,22.0752,-159.319,22.99,94,100,1.54,US,1680279046
111,nome,64.5011,-165.4064,-6.96,73,75,5.14,US,1680279047
112,quatre cocos,-20.2078,57.7625,27.27,83,10,5.14,MU,1680279047
113,qatana,33.4354,36.0815,9.24,35,0,5.98,SY,1680279048
114,alyangula,-13.8483,136.4192,26.73,81,72,3.0,AU,1680279048
115,chokurdakh,70.6333,147.9167,-21.39,95,100,4.58,RU,1680279048
116,aktau,43.65,51.2,6.32,60,100,8.2,KZ,1680279049
117,slavutych,51.5196,30.7343,2.53,93,100,3.18,UA,1680279049
118,presidencia roque saenz pena,-26.7852,-60.4388,35.57,40,48,3.13,AR,1680279050
119,half moon bay,37.4636,-122.4286,11.84,83,0,3.09,US,1680279044
120,narsaq,60.9167,-46.05,2.12,52,14,0.95,GL,1680279051
121,morehead,37.2711,-87.1764,16.55,84,100,5.14,US,1680279051
122,sioux lookout,50.1001,-91.917,-4.39,75,15,3.77,CA,1680278917
123,faanui,-16.4833,-151.75,27.72,73,49,3.58,PF,1680279052
124,rocha,-34.4833,-54.3333,20.51,52,96,9.07,UY,1680279053
125,saskylakh,71.9167,114.0833,-20.06,94,96,5.99,RU,1680279054
126,isabela,6.7085,121.9711,26.13,85,100,1.17,PH,1680279055
127,butaritari,3.0707,172.7902,27.03,80,100,3.49,KI,1680279056
128,viedma,-40.8135,-62.9967,16.0,32,53,4.46,AR,1680278794
129,kruisfontein,-34.0033,24.7314,17.71,71,55,3.53,ZA,1680279057
130,mazamet,43.49,2.373,15.54,58,100,8.75,FR,1680279057
131,oum hadjer,13.2954,19.6966,38.18,9,44,0.6,TD,1680279057
132,holoby,51.0865,25.0077,12.81,71,84,3.26,UA,1680279058
133,linqiong,30.4159,103.4609,15.66,80,72,0.54,CN,1680279058
134,gbadolite,4.2833,21.0167,28.76,52,87,1.74,CD,1680279059
135,tabuk,17.4189,121.4443,22.97,90,18,0.75,PH,1680278931
136,mariental,-24.6333,17.9667,32.05,11,3,1.25,NA,1680279060
137,abu zabad,12.35,29.25,31.06,9,15,6.91,SD,1680279060
138,aklavik,68.2191,-135.0107,-24.2,96,42,1.93,CA,1680279061
139,atuona,-9.8,-139.0333,26.78,79,68,7.94,PF,1680279062
140,cortez,37.3489,-108.5859,1.42,65,100,5.14,US,1680279062
141,sur,22.5667,59.5289,27.4,44,1,2.94,OM,1680279063
142,labuhan,-6.8844,112.2051,23.72,89,100,2.95,ID,1680279063
143,tasiilaq,65.6145,-37.6368,1.09,69,100,1.21,GL,1680279064
144,ponta delgada,37.7333,-25.6667,17.4,88,75,4.12,PT,1680279064
145,sinop,41.7711,34.8709,2.93,66,2,2.17,TR,1680279064
146,yulara,-25.2406,130.9889,17.03,67,100,7.63,AU,1680279065
147,hithadhoo,-0.6,73.0833,28.36,72,14,2.4,MV,1680279066
148,buraydah,26.326,43.975,21.14,25,2,6.83,SA,1680279066
149,kijang,35.2442,129.2139,13.73,57,4,3.34,KR,1680279067
150,manado,1.487,124.8455,25.43,100,40,1.54,ID,1680279068
151,valera,9.3178,-70.6036,29.09,58,90,2.02,VE,1680279069
